month_start,department,category,scenario,amount,source
2021-01-01,Finance,Infrastructure,Actual,1873838.0,budget_vs_actual
2021-01-01,Finance,Infrastructure,Budget,1646290.0,budget_vs_actual
2021-01-01,Finance,Marketing,Actual,1416710.0,budget_vs_actual
2021-01-01,Finance,Marketing,Budget,983294.0,budget_vs_actual
2021-01-01,Finance,Salaries,Actual,1955382.0,budget_vs_actual
2021-01-01,Finance,Salaries,Budget,1497114.0,budget_vs_actual
2021-01-01,Finance,Training,Actual,1279046.0,budget_vs_actual
2021-01-01,Finance,Training,Budget,1164912.0,budget_vs_actual
2021-01-01,Finance,Travel,Actual,1111588.0,budget_vs_actual
2021-01-01,Finance,Travel,Budget,740652.0,budget_vs_actual
2021-01-01,Finance,Utilities,Actual,1729722.0,budget_vs_actual
2021-01-01,Finance,Utilities,Budget,1375824.0,budget_vs_actual
2021-01-01,HR,Infrastructure,Actual,1453958.0,budget_vs_actual
2021-01-01,HR,Infrastructure,Budget,1521710.0,budget_vs_actual
2021-01-01,HR,Marketing,Actual,713156.0,budget_vs_actual
2021-01-01,HR,Marketing,Budget,896804.0,budget_vs_actual
2021-01-01,HR,Salaries,Actual,1300644.0,budget_vs_actual
2021-01-01,HR,Salaries,Budget,1189464.0,budget_vs_actual
2021-01-01,HR,Training,Actual,1059762.0,budget_vs_actual
2021-01-01,HR,Training,Budget,850370.0,budget_vs_actual
2021-01-01,HR,Travel,Actual,2025740.0,budget_vs_actual
2021-01-01,HR,Travel,Budget,1777966.0,budget_vs_actual
2021-01-01,HR,Utilities,Actual,1997896.0,budget_vs_actual
2021-01-01,HR,Utilities,Budget,2154160.0,budget_vs_actual
2021-01-01,IT,Infrastructure,Actual,457284.0,budget_vs_actual
2021-01-01,IT,Infrastructure,Budget,607728.0,budget_vs_actual
2021-01-01,IT,Marketing,Actual,995654.0,budget_vs_actual
2021-01-01,IT,Marketing,Budget,717908.0,budget_vs_actual
2021-01-01,IT,Salaries,Actual,214776.0,budget_vs_actual
2021-01-01,IT,Salaries,Budget,351416.0,budget_vs_actual
2021-01-01,IT,Training,Actual,674518.0,budget_vs_actual
2021-01-01,IT,Training,Budget,970034.0,budget_vs_actual
2021-01-01,IT,Travel,Actual,871150.0,budget_vs_actual
2021-01-01,IT,Travel,Budget,582304.0,budget_vs_actual
2021-01-01,IT,Utilities,Actual,1623484.0,budget_vs_actual
2021-01-01,IT,Utilities,Budget,1657764.0,budget_vs_actual
2021-01-01,Marketing,Infrastructure,Actual,1035378.0,budget_vs_actual
