Date,Department,Category,Region,Budget Amount,Actual Amount,Payment Method,Transaction ID
5/11/2023 0:00,Sales,Travel,North,126096,43048,Card,TXN100000
11/11/2023 0:00,Marketing,Salaries,East,19702,87896,Bank Transfer,TXN100001
5/2/2021 0:00,IT,Training,Central,108523,103632,Card,TXN100002
4/12/2022 0:00,Marketing,Salaries,North,114711,105574,Cash,TXN100003
11/27/2021 0:00,Sales,Utilities,Central,121895,64314,UPI,TXN100004
3/29/2021 0:00,Finance,Marketing,East,37762,77044,Bank Transfer,TXN100005
5/22/2023 0:00,IT,Marketing,West,144311,69127,UPI,TXN100006
5/11/2021 0:00,HR,Marketing,Central,22567,53015,Cash,TXN100007
2/9/2023 0:00,IT,Infrastructure,West,95737,58734,UPI,TXN100008
12/10/2021 0:00,IT,Salaries,East,16857,153432,Cash,TXN100009
3/17/2023 0:00,IT,Utilities,East,75603,73056,Bank Transfer,TXN100010
1/21/2022 0:00,Finance,Utilities,Central,85399,109122,Cash,TXN100011
8/14/2023 0:00,Sales,Marketing,Central,68086,70502,Bank Transfer,TXN100012
10/4/2021 0:00,HR,Training,East,99145,51102,UPI,TXN100013
4/5/2022 0:00,Sales,Infrastructure,Central,42270,148677,Cash,TXN100014
1/22/2021 0:00,Marketing,Infrastructure,Central,130071,79899,Card,TXN100015
9/10/2021 0:00,Marketing,Marketing,Central,12012,99017,Card,TXN100016
1/18/2023 0:00,Marketing,Marketing,Central,69049,120109,Card,TXN100017
5/7/2023 0:00,Sales,Salaries,North,94989,21299,Bank Transfer,TXN100018
4/20/2022 0:00,Operations,Training,East,99586,85658,Cash,TXN100019
12/19/2023 0:00,Finance,Infrastructure,East,49080,167039,Card,TXN100020
5/26/2022 0:00,Operations,Utilities,South,66879,149486,Bank Transfer,TXN100021
12/1/2022 0:00,Marketing,Marketing,West,75888,11379,Card,TXN100022
9/3/2023 0:00,Finance,Salaries,South,125951,142223,UPI,TXN100023
7/9/2021 0:00,Sales,Utilities,Central,47146,62758,UPI,TXN100024
8/16/2023 0:00,Marketing,Infrastructure,Central,126293,82140,UPI,TXN100025
11/18/2022 0:00,Sales,Marketing,North,103948,76187,Card,TXN100026
8/16/2023 0:00,Finance,Training,North,46166,24308,Bank Transfer,TXN100027
7/17/2022 0:00,Sales,Marketing,North,129239,47800,Card,TXN100028
4/12/2023 0:00,Sales,Training,North,144078,83304,Bank Transfer,TXN100029
10/9/2022 0:00,HR,Salaries,North,142076,142230,Card,TXN100030
1/21/2021 0:00,Operations,Salaries,North,147039,68958,Bank Transfer,TXN100031
4/21/2023 0:00,Operations,Infrastructure,North,28879,154557,Card,TXN100032
